LocationId, ScanNo, Date, Time, RoomId, InOut, RoomType, MAC, SignalStrength, Connected
1,7, 2014-Sep-19, 17:12:36, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:ec,-80, No
1,7, 2014-Sep-19, 17:12:36, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e8,-82, No
1,7, 2014-Sep-19, 17:12:36, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e9,-82, No
1,7, 2014-Sep-19, 17:12:36, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:6e:a3,-92, No
1,8, 2014-Sep-19, 17:12:41, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-64, Yes
1,8, 2014-Sep-19, 17:12:41, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a9,-65, No
1,8, 2014-Sep-19, 17:12:41, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-65, Yes
1,8, 2014-Sep-19, 17:12:41, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:51,-65, No
1,8, 2014-Sep-19, 17:12:41, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e9,-65, No
1,8, 2014-Sep-19, 17:12:41, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:50,-66, No
1,8, 2014-Sep-19, 17:12:41, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e8,-66, No
1,8, 2014-Sep-19, 17:12:41, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:48,-77, No
1,8, 2014-Sep-19, 17:12:41, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:49,-77, No
1,8, 2014-Sep-19, 17:12:41, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e8,-79, No
1,8, 2014-Sep-19, 17:12:41, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e9,-81, No
1,8, 2014-Sep-19, 17:12:41, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:97:08,-84, No
